"Plot","Value","date","MAP","Index"
"K01",2.68799994955771e-05,2022-01-16,2,"B7"
"K02",2.47999996645376e-05,2022-01-16,2,"B7"
"K03",2.92099994112505e-05,2022-01-16,2,"B7"
"K04",3.107999873464e-05,2022-01-16,2,"B7"
"K05",2.96899997920264e-05,2022-01-16,2,"B7"
"K06",3.20399994961917e-05,2022-01-16,2,"B7"
"K07",3.12800002575386e-05,2022-01-16,2,"B7"
"K08",3.19200007652398e-05,2022-01-16,2,"B7"
"K09",3.1570001738146e-05,2022-01-16,2,"B7"
"K10",3.16099994961405e-05,2022-01-16,2,"B7"
"K11",3.31099981849547e-05,2022-01-16,2,"B7"
"K12",3.12999982270412e-05,2022-01-16,2,"B7"
"K13",3.26500012306497e-05,2022-01-16,2,"B7"
"K14",3.08700000459794e-05,2022-01-16,2,"B7"
"K15",2.98899994959356e-05,2022-01-16,2,"B7"
"S09",2.95600002573337e-05,2022-01-16,2,"B7"
"S13",3.29499998770189e-05,2022-01-16,2,"B7"
"S14",3.28200003423262e-05,2022-01-16,2,"B7"
"S15",3.18999991577584e-05,2022-01-16,2,"B7"
"S16",2.87799994111992e-05,2022-01-16,2,"B7"
"S17",3.07200007227948e-05,2022-01-16,2,"B7"
"S18",2.9569999242085e-05,2022-01-16,2,"B7"
"S19",2.9759999961243e-05,2022-01-16,2,"B7"
"S20",2.92400000034831e-05,2022-01-16,2,"B7"
"S21",2.91500000457745e-05,2022-01-16,2,"B7"
"S22",2.91699998342665e-05,2022-01-16,2,"B7"
"S23",3.11399999191053e-05,2022-01-16,2,"B7"
"S25",2.58449999819277e-05,2022-01-16,2,"B7"
"S26",2.60100005107233e-05,2022-01-16,2,"B7"
"S27",2.64800000877585e-05,2022-01-16,2,"B7"
"S28",2.90999996650498e-05,2022-01-16,2,"B7"
"S29",3.08999988192227e-05,2022-01-16,2,"B7"
"S30",2.96399994113017e-05,2022-01-16,2,"B7"
"S31",2.86699996649986e-05,2022-01-16,2,"B7"
"S32",3.11600015265867e-05,2022-01-16,2,"B7"
"S33",2.82599994534394e-05,2022-01-16,2,"B7"
"E7",2.93399989459431e-05,2022-01-16,2,"B8"
"E8",2.98799986921949e-05,2022-01-16,2,"B8"
"E9",3.14200005959719e-05,2022-01-16,2,"B8"
"E10",2.95450008707121e-05,2022-01-16,2,"B8"
"E11",2.78499992418801e-05,2022-01-16,2,"B8"
"E12",2.80149997706758e-05,2022-01-16,2,"B8"
"E13",2.80900003417628e-05,2022-01-16,2,"B8"
"E14",2.66799979726784e-05,2022-01-16,2,"B8"
"E15",2.64700011030072e-05,2022-01-16,2,"B8"
"E16",2.69600004685344e-05,2022-01-16,2,"B8"
"E17",2.74850017376593e-05,2022-01-16,2,"B8"
"K01",2.8550000024552e-05,2022-01-16,2,"B8"
"K02",2.65049993686262e-05,2022-01-16,2,"B8"
